id;numeroSecuriteSociale;nom;prenom
117;213915827850856;Coben;Louis
118;117518463782959;Gentry;Léon
119;263561156572885;Zola;Pierre
120;219322231480944;Parot;Arthur
121;253370743925308;Austen;Harlan
122;148801608776417;Parot;S.J.
123;288336472673778;Jon Ellory;Émile
124;246510326165952;Seskis;Denis
125;266997556101618;Levy;Arthur
126;114404660943770;de Balzac;Honoré
127;214774454681349;d' Aillon;Fred
128;154728337057310;Paris;S.J.
129;124065556546438;J. Ellory;Terry
130;189719288744745;Kerr;Harlan
131;140737835588062;Twain;Bernard
132;172487457745227;K. Rowling;R.
133;184645861758579;K. Rowling;Pierre
134;151586162981595;Proust;Louis
135;206865019822839;Austen;Jo
136;249063456092678;Roberts;Fred
137;171594849003340;Louis;Terry
138;163072267058083;Wilde;Fred
139;117802144390926;Paris;Bernard
140;266888792491382;de Musset;Denis
141;133277572906612;Zola;Jane
142;137064767366688;Bombard;Georges
143;265649237050228;Allan;Jane
144;136391168160820;Kerr;Marc
145;232743765050877;Pouchairet;Mary
146;213950935833868;Simenon;Léon
147;114309477117357;Kerr;Jane
148;151438223330624;Harper;Jean
149;213758376514125;Hugo;Jules
150;285760653542285;Zola;Marcel
151;208852701813976;Austen;Camilla
152;197345526899295;Twain;Harlan
153;108245380412918;Diderot;Pierre
154;178217093841105;Hugo;Peter
155;180722680598705;Bussi;Harlan
156;132688162066735;Vargas;Albert
157;118113742631788;Roberts;Isaac
158;266842999457720;Fleming;Pierre
159;204373478268953;Conan;Albert
160;106222647343417;K. Rowling;Renaud
161;219340679949967;Vargas;Umberto
162;229874342560010;Nesbo;Jack
163;159078270898614;de Musset;Roger
164;192041518306142;Proust;J.
165;125829336200260;de Musset;Oscar
166;132178970097538;Shelley;Honoré
167;198085719057809;Gardner;Jean-François
168;166343374625423;Hayes;Albert
169;200776581861932;Chattam;Michel
170;132701744793189;Zola;Mary
171;206245909122033;Simenon;Michaël
172;149694129464919;Diderot;Philip
173;259020845412922;Higgins Clark;Maxime
174;140677002916816;Mention;Camilla
175;203657430722431;Verne;Arnaldur
176;245130636963942;Hawkins;Maxime
177;114175156850852;Louis;Lisa
178;221539065065850;Higgins;Terry
179;118728764654425;Higgins;Michaël
180;168729251741067;Higgins;Jean-François
181;274099089569093;Zola;Fred
182;238245729223996;Paris;Roger
183;294793915439642;Verne;Jane
184;289524385309848;Vargas;André
185;139644474896341;Fleming;Philip
186;245010843617996;Simenon;Åsa
187;133328108151860;Simenon;Isaac
188;102318006619395;Higgins;Michaël
189;210131023435904;Diderot;Arthur
190;200413442072577;Minier;Renaud
191;129105385793038;Lemaitre;Albert
192;256013730544172;Conan;Camilla
193;283805959506814;J. Ellory;Paula
194;116479123744523;Tolstoï;Honoré
195;206134123232879;Nesbø;Denis
196;119092961516624;Mention;Jane
197;223923721045984;Tolstoï;Léon
198;108718717119857;Paris;Ian
199;223628388070173;May;Michaël
200;190375216552506;Minier;Michaël
201;221519184864142;Higgins Clark;Jane
202;157401646954744;de Musset;Harlan
203;273228039484402;Kepler;André
204;229575544406064;Kerr;S.J.
205;158272408961603;May;Émile
206;296926993439230;K. Rowling;Mary
207;130563221365363;Conan;Louis
208;257241320595201;de Musset;Arthur
209;208863852714234;Parot;Jean-François
210;166237170300244;Bombard;Jean-François
211;277515600064106;Nesbo;Alfred
212;154208503406247;Mention;Fred
213;140820663770946;Austen;Arthur
214;283626626248963;Läckberg;André
215;288729446297580;Jon Ellory;Arnaldur
216;121727087948881;Wilde;Maxime
217;249165535912536;Parot;Fred
218;156660921399627;Paris;Jean
219;233322224558814;Hayes;Nora
220;104545896634752;Mention;Georges
221;287503009845581;Watson;Donna
222;295987456978155;Parot;Peter
223;117050442038729;Verne;Jane
224;169003980017154;Coben;Tina
225;233885277172808;Hayes;Bernard
226;232591141025644;Chattam;Philip
227;133386368532584;Kepler;Umberto
228;242441254182190;Wilde;Honoré
229;227603284657506;Verne;Tina
230;165174668655696;Simenon;Arnaldur
231;162773599306309;Higgins Clark;Jean
232;244715529170286;Austen;Louis
233;234093221313596;Eco;Maxime
234;273832954442769;Hugo;Pierre
235;297463787319152;Mention;Bernard
236;226904533506337;Proust;Jean-François
237;276500976723624;de Balzac;Lisa
238;192823511590130;Twain;Bernard
239;286488042944803;Paris;Renaud
240;137380359703555;Aragon;R.
241;187468724392720;Austen;Louis
242;147745807992522;Nesbø;Harlan
243;283450345024387;Aragon;Oscar
244;135863289120407;de Musset;Alfred
245;113193425102895;Twain;Robert
246;207686213865721;Harper;Bernard
247;157578344105190;d' Aillon;Victor
248;292446036403123;Pouchairet;Harlan
249;237998836157964;Higgins Clark;Mark
250;191987667323948;d' Aillon;Isaac
251;137841396867651;Higgins Clark;B.A.
252;196784670948185;Fleming;Isaac
253;123523797423684;Nesbø;Renaud
254;256133346335285;Kerr;Isaac
255;141252624707036;Läckberg;Nora
256;183860751933304;Mention;Jean
257;194610576186639;Gentry;Donna
258;267566054893761;Larsson;Victor
259;186634391703002;Hawkins;Fred
260;140101442142840;Kafka;Alfred
261;117760284919293;Harper;Fred
262;283945608609833;Shelley;Léon
263;223238678679314;Kepler;Mary
264;209724613324874;Gardner;Mark
265;102740172439230;Diderot;Peter
266;224153955759291;Aragon;Paula
267;116415960241008;Coben;Michel
268;161096398072330;Gentry;Jo
269;167257967638154;Seskis;Mary
270;238525042923327;Indridason;Marcel
271;209579139376857;Simenon;Fred
272;270344499909586;Camus;J.
273;192832525958766;Coben;Jules
274;274778033732976;Vargas;Fred
275;118162653650886;Louis;Camilla
276;121113629177245;Kepler;Mary
277;183428460943754;London;Jules
278;138221743882582;Coben;Åsa
279;286832154460246;Indridason;Oscar
280;222163431245028;Minier;Amy
281;203794403680558;Verne;Jane
282;188461781827197;Levy;Terry
283;102303148948254;Diderot;Pierre
284;227577385576585;Paris;Fred
285;149191705835086;Conan;Edgar
286;226587695187712;Minier;Georges
287;260056297225484;de Musset;Jo
288;127306399190896;Gardner;Pierre
289;204182491502415;Leon;Roger
290;116340546448028;Parot;Jack
291;188832666855057;J. Ellory;Maxime
292;168340203784132;Asimov;Jo
293;233093989381510;Jon Ellory;Edgar
294;110506655315594;Watson;Arnaldur
295;205893214568930;Allan;Louis
296;260676901000259;Läckberg;Georges
297;296624527752819;Nesbo;Terry
298;188121346052350;Eco;Donna
299;117376174070974;Minier;Ian
300;117597289355886;Nesbø;Fred
301;181707786438387;Parot;Roger
302;111804757614067;Hawkins;Peter
303;118100202177856;Chattam;Jack
304;199405325163890;Vargas;Edgar
305;263785401175734;Hugo;Jane
306;260937503470783;Vargas;Philip
307;184943865819530;Conan;Renaud
308;209104432620785;Conan;Pierre
309;213363653140989;Leon;Renaud
310;126781934628164;Läckberg;Jane
311;278164627257040;Gide;Pierre
312;216408631930480;London;Donna
313;145897422232892;Chattam;Philip
314;130595447373789;Gardner;S.J.
315;140017029897060;Aragon;Philip
316;181200533559509;Lemaitre;Tina
317;107886075107047;Indridason;J.
318;123524897161326;Vargas;Ian
319;171295379667681;Higgins Clark;Franz
320;243534944132717;Paris;Åsa
321;104295518328246;Shelley;Jane
322;182368347845892;Kerr;Victor
323;175131535642439;Chattam;Lisa
324;294690675392209;Gardner;Franz
325;292175037366822;Larsson;Denis
326;230283236240418;Gentry;Amy
327;129762693832882;Harper;Terry
328;144397195997142;Diderot;Franz
329;188135386353738;Aragon;Mary
330;197648962403672;Simenon;Roger
331;240351396615202;Louis;Edgar
332;157426394863988;Levy;Alfred
333;294706438403571;Coben;Paula
334;131425716022894;Tolstoï;Denis
335;214725973907781;Proust;Arnaldur
336;217462042859140;London;Philip
337;138910503262478;Wilde;Tina
338;265662193322409;Seskis;Philip
339;232813358933248;Paris;Lisa
340;194961278715870;Lemaitre;Albert
341;161778887343787;Minier;Alfred
342;245094469524031;Coben;Philip
343;245604884085353;d' Aillon;Philip
344;109299584358054;de Balzac;Nora
345;163032116077837;Watson;Renaud
346;216113425346693;Wilde;Philip
347;118941852705061;d' Aillon;Isaac
348;200311878348323;Mention;Honoré
349;125495025675506;May;Umberto
350;204038278294285;K. Rowling;Pierre
351;117768038366083;Chattam;Lars
352;178358369420964;Kafka;Jack
353;295541793299346;Parot;Lars
354;204716541378072;Zola;Fred
355;153053777677534;Gide;Victor
356;160626347124666;Aragon;Jo
357;126420120879261;Vargas;Maxime
358;277505948365405;d' Aillon;Jean-François
359;285520257344011;Nesbø;Amy
360;257411053115388;Indridason;Camilla
361;256532550881600;Kerr;Jo
362;146359053373710;Mention;Arthur
363;278927361322623;Kerr;Oscar
364;266022633328541;Vargas;Jane
365;101971223559836;Läckberg;Harlan
366;203280751196423;Wilde;Marc
367;236410254644928;Chattam;Jane
368;212404034818870;Higgins Clark;Mary
369;256581179686913;Larsson;Philip
370;214585135354393;Diderot;Fred
371;152039560437414;Gentry;Fred
372;121898216276912;Simenon;Denis
373;288565513759276;Camus;Léon
374;175324326914031;Indridason;Léon
375;131067025851197;Pouchairet;Harlan
376;291919565964632;Nesbo;Lars
377;294959430798484;Hawkins;Mary
378;163301636847292;Kepler;Harlan
379;162191287294946;Proust;Jo
380;243848288735508;Verne;Paula
381;103240715002286;Roberts;Ian
382;292981614076967;Louis;Maxime
383;193447905664158;Pouchairet;Pierre
384;242026341185220;Harper;S.J.
385;283002582123098;Harper;Roger
386;228371035036220;May;Jean-François
387;233800947272282;Fleming;Marc
388;284713876436380;Paris;Renaud
389;162437854756279;Kerr;Bernard
390;152205221511307;Gentry;Philip
391;243344723111728;Levy;Denis
392;153242444410152;J. Ellory;Albert
393;259742807436709;Twain;Roger
394;171551719845401;Conan;Isaac
395;196361223730105;Watson;Louis
396;277163202282972;Jon Ellory;Franz
397;207624429531847;Vargas;Camilla
398;298084370229105;Parot;Peter
399;162631648214752;Paris;Donna
400;250371668556253;Vargas;Mary
401;185884395383519;Twain;Nora
402;102809314162261;Nesbø;Philip
403;141671781734230;Simenon;Terry
404;272007959190815;Mention;Louis
405;299052633840830;Harper;Isaac
406;167845584379234;Hawkins;Amy
407;240722449204954;Leon;Denis
408;283457931189562;Bussi;Edgar
409;198133500107183;Fleming;Harlan
410;263700147285612;Verne;Jo
411;217367243268774;Kepler;Mary
412;211016321381757;Leon;Arthur
413;264845937582657;Verne;Albert
414;218046549369124;Parot;Michel
415;158018595920303;Vargas;Jane
416;282103212483273;Kerr;Pierre
417;174361067215104;Kerr;Harlan
418;166531097322391;London;Ian
419;260970538986456;Gide;Pierre
420;228519541209333;Zola;J.
421;179467761027368;May;Marc
422;193028792292911;Fleming;Alfred
423;263073618025436;Verne;André
424;275660371908632;Parot;R.
425;184558156861671;d' Aillon;Arnaldur
426;259048183892950;Vargas;Bernard
427;289175934001932;Higgins;Ian
428;274658532853282;Higgins;J.
429;213713392007881;Proust;Franz
430;250799277198394;Coben;Bernard
431;197796631536109;Gentry;Paula
432;269335537470635;Shelley;Mark
433;193709098906070;Eco;Isaac
434;205437398357957;Vargas;Jane
435;107436597474483;Indridason;Ian
436;283408394994528;Twain;Philip
437;176975171858079;London;Jean-François
438;190806724403400;Watson;Camilla
439;270496203404966;Levy;Nora
440;283961987493676;Simenon;Paula
441;114964501653745;Proust;Robert
442;260954589744360;Higgins Clark;Léon
443;186498050197098;Leon;Donna
444;186455378939111;Eco;J.
445;194773896675304;Bombard;Philip
446;158075361387091;Paris;Fred
447;282485725908621;Kerr;Honoré
448;263361315284195;Higgins Clark;Harlan
449;251071021331313;de Balzac;Maxime
450;167273762064089;London;Arthur
451;266204132092534;Levy;Denis
452;111634538795364;Hawkins;Jack
453;248369383028498;Minier;Åsa
454;105981073494339;Austen;Arnaldur
455;197462403357371;Simenon;Edgar
456;238061175533988;Paris;Nora
457;251166753138571;de Musset;Michel
458;208745965212853;Chattam;Fred
459;288930401212381;Kafka;Jane
460;149394186850699;Hugo;Fred
461;231175035087150;Nesbø;Ian
462;156254866430928;J. Ellory;Victor
463;105637433423758;Lemaitre;Fred
464;271125273463952;Levy;J.
465;210439299636919;Bussi;J.
466;193100119174600;Louis;Isaac
467;201151923549694;d' Aillon;Amy
468;121935493297841;Higgins;Albert
469;172823973057466;Nesbø;B.A.
470;257170431332917;Gardner;Jo
471;264760124019369;Bussi;Mary
472;192562847562313;Kerr;Michel
473;250558185452812;de Musset;Michel
474;228186060081146;Eco;Peter
475;251772692685539;Conan;Mark
476;226084548425885;de Balzac;Denis
477;172982985109647;London;Maxime
478;167108066706554;Nesbo;Alfred
479;122137432820047;Gide;Jo
480;200198024306357;Proust;Mary
481;258522155838871;Verne;Michaël
482;197941924385735;K. Rowling;Philip
483;137263082837139;Hayes;Fred
484;244508654391416;Asimov;Peter
485;249219338337181;Vargas;Tina
486;235542085309790;Chattam;Mary
487;262348297802976;Paris;Umberto
488;201064915657039;Jon Ellory;Tina
489;130210571307193;Hayes;Arthur
490;237249080901454;Nesbø;Jean-François
491;295590242881534;Bussi;Roger
492;296845704303344;Pouchairet;Lars
493;268074000245291;Lemaitre;Robert
494;293971101719181;Eco;Jules
495;219315666421713;Watson;Paula
496;200086013971464;Watson;Jane
497;267608585374314;Kerr;Lars
498;274913724815014;Higgins Clark;Pierre
499;237318383692504;Parot;Léon
500;250369253291538;Aragon;Michaël
501;143064554786887;May;Donna
502;246010929242797;Higgins Clark;Jean-François
503;201107861363991;Leon;Isaac
504;187843775022226;Vargas;Robert
505;225854198720034;Nesbo;Mary
506;240481559999962;Paris;Georges
507;270563190564524;Jon Ellory;Harlan
508;112451475105562;Nesbø;Marcel
509;250553779169295;Allan;Bernard
510;276208498677476;Aragon;R.
511;193891530921396;Nesbo;Denis
512;132436519517707;Nesbo;Jane
513;208068395086519;Kerr;Amy
514;244200463695105;Bombard;Robert
515;232784114738536;Camus;Paula
516;110512943450596;Bombard;Émile
517;111980121450219;Minier;Jane
518;177296493250727;Nesbo;Åsa
519;142696348872726;Camus;Léon
520;241970882141239;Vargas;Lars
521;226953280450511;Eco;Tina
522;285553337569694;Allan;Umberto
523;193223426928281;May;Tina
524;141124351449355;Hayes;Victor
525;199455339476171;Gide;Nora
526;156256213298116;Simenon;Bernard
527;199656822097697;Simenon;Jean
528;269276460122705;Coben;Lisa
529;163231696886682;Camus;Louis
530;136984977780777;Vargas;Franz
531;124697819740508;Hawkins;Amy
532;242727256304622;Louis;Fred
533;253384767231373;Leon;Nora
534;168134597074772;Leon;Mary
535;107578582560182;Hayes;Mary
536;106807123060458;Läckberg;Umberto
537;116074973256615;London;Harlan
538;235228526815724;Asimov;Camilla
539;179051294907473;Louis;Bernard
540;113742537228087;London;André
541;164766367342209;Harper;Fred
542;145346940623967;Simenon;Maxime
543;232463529641403;Tolstoï;Jo
544;253993490154380;Nesbo;André
545;146846424219702;Higgins Clark;Lisa
546;181044616819896;Lemaitre;Bernard
547;133325039612409;May;Tina
548;152263979636780;Seskis;Philip
549;289312322009380;Mention;Tina
550;137933523503332;Gentry;Arthur
551;247283710760496;Asimov;Terry
552;148741031403924;London;Émile
553;148520136161488;de Musset;Umberto
554;236597175535241;Hugo;Ian
555;237277885862189;Higgins Clark;Mary
556;292281460712478;Harper;Émile
557;242260860976089;d' Aillon;Terry
558;128198823764674;Lemaitre;Peter
559;182375355470381;Austen;Philip
560;260646503148860;Shelley;Philip
561;200157344467779;Gardner;Donna
562;191000800881039;Parot;Lars
563;283062193141710;Kerr;Jo
564;238340370540294;Bombard;Jane
565;200608852192265;Gardner;Jules
566;179541668846593;Parot;Louis
567;143215475686307;Minier;Camilla
568;147420493710998;K. Rowling;Léon
569;212716170626906;Higgins;Peter
570;293406901375091;Eco;Georges
571;227559300818396;Roberts;Jane
572;183079258168752;Parot;Marc
573;169394100151287;Harper;Roger
574;268834858631262;Minier;Albert
575;133934082343062;Larsson;Victor
576;244551327039571;Gardner;Arthur
577;247146219594534;Paris;Pierre
578;154549295647810;Higgins Clark;Michaël
579;141084953605670;Shelley;Mary
580;274450658762185;Coben;Mark
581;241421194463339;Diderot;Tina
582;243812805411661;Chattam;Bernard
583;136837134452634;Roberts;Mary
584;240297941880938;Gide;Jo
585;193424985021987;Roberts;Marc
586;189349300244144;Allan;Jane
587;186829112342890;Diderot;Jean-François
588;170205162453207;Nesbø;Jane
589;207282615065454;Gide;Oscar
590;145154894509567;Allan;Oscar
591;280983526205376;Fleming;Åsa
592;139625304605366;Aragon;Fred
593;113215821890526;Asimov;Jo
594;104745403638238;Zola;Arthur
595;234535889145260;Asimov;Jane
596;287840276862109;Bombard;Lars
597;116274265800283;Coben;R.
598;221788505204415;Minier;Marcel
599;246834305692741;de Balzac;Åsa
600;162268836766922;Indridason;Jean-François
601;134739449247427;Zola;Jack
602;147811516751399;Kerr;Ian
603;281506989155729;Mention;Franz
604;154962541963993;Nesbo;Edgar
605;273261292867786;Camus;Honoré
606;296905059887596;Verne;Renaud
607;206298332554238;Chattam;Jo
608;255822824879932;d' Aillon;Lisa
609;131838351614707;Larsson;Lisa
610;120869160531329;Larsson;Umberto
611;138560745387644;Eco;Lars
612;125229532947194;Shelley;Honoré
613;157025022207936;London;Louis
614;144923629272637;Bombard;Isaac
615;104318474281896;London;Franz
616;115771483205711;Camus;Jo
617;144822107230601;de Balzac;Lars
618;295720516958198;Shelley;Jane
619;298557197193625;Jon Ellory;Oscar
620;231159173725874;Gide;Michel
621;237032556854643;Asimov;Michaël
622;118335752256099;Lemaitre;Robert
623;158975587397865;Kerr;Jo
624;131109015036342;Zola;Louis
625;254089591132586;Wilde;J.
626;190562640154960;Asimov;Michel
627;212169560790387;K. Rowling;Terry
628;110394157375981;Conan;Ian
629;293251559871110;Hayes;Philip
630;111272697218283;Gentry;Jane
631;259367319308412;Higgins;Umberto
632;121650711039598;Hayes;Amy
633;171276319880109;Austen;S.J.
634;149049256298588;Minier;Nora
635;144557587335103;Aragon;Mary
636;276365234522977;Bussi;Léon
637;247887123483855;Kepler;Jane
638;240588351138688;Watson;Maxime
639;201220907477279;Kafka;Léon
640;198693806750419;Camus;Michel
641;171643172243645;Austen;Philip
642;198302289605506;Bussi;Léon
643;112191720912828;London;Isaac
644;140675466075872;Twain;Terry
645;274801217997540;Bombard;Lisa
646;272758320743963;Vargas;Jane
647;210610558763465;de Musset;Franz
648;205639466591490;Conan;Mary
649;208110818771797;K. Rowling;Pierre
650;180308896085654;Nesbo;Ian
651;275654810826297;Kepler;Jo
652;260108931346899;Nesbø;Maxime
653;186346330669998;Levy;Philip
654;151021506308631;Indridason;Lisa
655;145273699129450;Indridason;Michel
656;271631360005055;Kepler;Arnaldur
657;221259462018102;Gardner;Amy
658;297636394995680;Kepler;Jules
659;144847113690602;Vargas;Peter
660;116649496989651;Seskis;Louis
661;244882135279176;Conan;R.
662;167968941011978;Parot;Michaël
663;186212948145850;Roberts;B.A.
664;248756926453472;Hayes;Harlan
665;168658625442873;Hawkins;B.A.
666;189286288968563;Nesbø;Jane
667;211388588214828;Twain;Alfred
668;119561158254238;Hayes;Georges
669;105308163885597;Tolstoï;Marc
670;267604279846447;Vargas;Lars
671;280921958066820;Coben;Jo
672;260207480727802;Shelley;Jo
673;202052467357054;Fleming;Arthur
674;171623088833692;Indridason;Philip
675;195857531177229;Asimov;Donna
676;299307193052350;Simenon;Michaël
677;299652647710332;Tolstoï;Jane
678;179323976651229;Tolstoï;Arnaldur
679;107946756127918;Proust;Jane
680;162774533174110;May;Åsa
681;127867355792131;Higgins;Jane
682;212463178730896;K. Rowling;Lars
683;133781763599057;Vargas;Tina
684;228775848406662;K. Rowling;Honoré
685;219808793711185;Harper;Amy
686;291582666573932;Diderot;Lisa
687;118295033947482;Vargas;Pierre
688;266494149324328;Harper;Lars
689;296507159049858;Proust;Louis
690;251670295176610;Minier;Michel
691;277486482979332;d' Aillon;Umberto
692;174494321914629;de Musset;Honoré
693;229919557601095;Austen;Isaac
694;156615651513209;K. Rowling;Marcel
695;220797844013690;Leon;Jean
696;182992941549201;Bombard;Roger
697;179140143446227;Fleming;Edgar
698;187301114040660;Kepler;Alfred
699;170468723974313;Eco;Denis
700;186882535564818;Higgins;Honoré
701;197848693914750;London;Fred
702;261192981104830;Higgins;Jules
703;247075489303631;Diderot;Émile
704;226154658004272;Gide;Jane
705;252837207529828;Hawkins;Philip
706;231378271896035;Nesbo;Robert
707;245477214571635;Higgins;Harlan
708;198107844509549;de Musset;Paula
709;151704823259705;Conan;B.A.
710;204548699901134;Leon;Michaël
711;267939239292970;Nesbø;Harlan
712;193122820543754;Harper;Terry
713;245208262156192;K. Rowling;Michel
714;199685304695964;Mention;Mark
715;296764706903087;Shelley;Mary
716;142119168921755;Vargas;Honoré
717;198046377031745;de Musset;Pierre
718;100357200200691;Kerr;Mary
719;243157557304924;Gentry;Camilla
720;260422501737690;J. Ellory;Ian
721;275942034968192;Kerr;Jo
722;264819251336205;Roberts;Maxime
723;136334350589499;Austen;Philip
724;232588811681047;Eco;Paula
725;132590912016261;Roberts;Marc
726;141365604795469;Hayes;Maxime
727;287660616849843;Kafka;Philip
728;183033959603095;d' Aillon;Jane
729;229749292569279;Levy;Arnaldur
730;282195858907452;Simenon;Mary
731;280685527975675;Bussi;Jo
732;135416561392881;Higgins;Nora
733;101225232147714;d' Aillon;Alfred
734;238237875194960;Tolstoï;André
735;134268385922315;Louis;Mark
736;243503417798426;Bussi;Mary
737;286367532409537;London;Denis
738;145913361795969;Kafka;Jane
739;210783446775259;Seskis;Jane
740;142480726427962;Zola;Marcel
741;181641842775442;Gide;Donna
742;117184386242636;Vargas;Philip
743;252151889476892;Higgins Clark;Georges
744;111219193311844;Kepler;J.
745;163017817150445;Asimov;Robert
746;175373349752533;Läckberg;Marcel
747;158104581353334;Hugo;Tina
748;253100537986857;London;Edgar
749;221257075309132;Simenon;Terry
750;179550608968496;Nesbo;Marcel
751;261465876845510;Austen;Renaud
752;116172720478413;Levy;Camilla
753;142872535901160;Simenon;Renaud
754;221963203837883;Roberts;Jack
755;213845773727225;Hawkins;André
756;118836046049232;Vargas;Jean-François
757;243939504726427;Gardner;Ian
758;237485797115861;Pouchairet;Oscar
759;242472706241604;Zola;Edgar
760;103959583466808;Harper;Arthur
761;129296236786838;Roberts;Georges
762;207764568746366;Fleming;Renaud
763;209616996313355;Asimov;Honoré
764;256478540109209;Shelley;Lisa
765;147135936316719;Higgins Clark;B.A.
766;277851828859796;Chattam;Paula
767;198783430510242;Hayes;Honoré
768;130190542945618;Verne;Fred
769;202331394443719;Gardner;Amy
770;146330356294721;de Musset;B.A.
771;179411354363206;Gentry;André
772;139877945393076;Watson;Åsa
773;183289330548438;de Musset;Émile
774;168056372253438;May;Robert
775;223654549938733;London;Jane
776;271055634585901;Kerr;Jo
777;146569587758723;Wilde;Mary
778;240221144492397;Wilde;Michel
779;118455702199723;de Balzac;Jean-François
780;249197931897567;Eco;Umberto
781;133452482176970;Camus;Harlan
782;120978185600658;Mention;Renaud
783;156094966132311;Pouchairet;Jo
784;238492969971213;Indridason;Jo
785;110908103814763;Kerr;Fred
786;260235085402342;K. Rowling;Léon
787;196332717208576;Jon Ellory;Alfred
788;254049599854657;Diderot;Lars
789;102105826494133;Twain;Philip
790;204381435508973;Gide;Michaël
791;257310408941718;Verne;Camilla
792;288472759371609;Parot;Maxime
793;291263612098127;Parot;Camilla
794;189861371052723;Vargas;Lisa
795;198739115813585;Roberts;Albert
796;193318884164193;Gardner;S.J.
797;198185829420819;de Musset;Alfred
798;211633390905745;Twain;Alfred
799;163703279014106;Jon Ellory;Terry
800;232446824613153;Mention;Bernard
801;165741419435817;Nesbø;Philip
802;255784096337978;Twain;Terry
803;119557060420335;Higgins;Åsa
804;152265305693977;Vargas;Tina
805;235404038304643;Kepler;André
806;228769300637992;Higgins;Maxime
807;141355700003223;d' Aillon;Bernard
808;262325100307981;Higgins Clark;Alfred
809;154097306175361;Hayes;Isaac
